dock.id,file.name.ligand.pdbqt,file.name.flex.pdbqt,winner,receptor,ligand.name,ligand.name.index,ligand.type,rotation,binding.mode,buried,measure.type,measure.value
1,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,1,amine.N,Binding.Energy.Score.Only,-11.698
1,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,1,amine.N,Ligand.Internal.Energy,0
1,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,1,amine.N,Binding.Energy.Vina,-11.17
1,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,1,amine.N,Binding.Energy.Difference,-0.528
1,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_1.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_1.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,1,amine.N,distance.landmark,6.127204582842
2,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,2,amine.N,Binding.Energy.Score.Only,-10.097
2,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,2,amine.N,Ligand.Internal.Energy,0
2,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,2,amine.N,Binding.Energy.Vina,-9.974
2,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,2,amine.N,Binding.Energy.Difference,-0.122999999999999
2,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_2.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_2.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,2,amine.N,distance.landmark,17.6515065929229
3,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,3,amine.N,Binding.Energy.Score.Only,-9.134
3,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,3,amine.N,Ligand.Internal.Energy,0
3,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,3,amine.N,Binding.Energy.Vina,-9.03
3,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,3,amine.N,Binding.Energy.Difference,-0.104000000000001
3,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_3.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_3.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,3,amine.N,distance.landmark,13.0030149196254
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,Binding.Energy.Score.Only,-8.805
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,Ligand.Internal.Energy,0
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,Binding.Energy.Vina,-8.8
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,Binding.Energy.Difference,-0.004999999999999
4,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_4.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_4.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,4,amine.N,distance.landmark,20.1396179953841
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,Binding.Energy.Score.Only,-8.725
5,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_ligand_mode_5.pdbqt,SPLIT_RPE65_emixustat/split_RPE65_xq7_chainA_emixustat_flex_mode_5.pdbqt,FALSE,RPE65,xq7_chainA_emixustat,1,emixustat,2,5,amine.N,Ligand.Internal.Energy,0
